id;id3;id4;id5;id6
619660436;Shopping/retail;SneakerDistrict;2013-01-07T13:02:42+0000;110281535795097
619660436;Retail and consumer merchandise;Vault79.com;2012-11-08T17:31:49+0000;187138191371195
619660436;Spas/beauty/personal care;Freewave Kappers;2012-10-03T13:27:17+0000;204865512951040
623329865;University;TU Delft Library;2012-03-26T14:08:42+0000;205346976146833
623329865;Interest;Tribler;2012-03-05T09:46:47+0000;100777446677432
623329865;Organization;RetroShare;2012-03-05T09:46:35+0000;109681989058616
623329865;Athlete;Hege Bokko;2011-11-10T09:38:15+0000;181982615168415
623329865;Community;??? ???? ????? ?? ?????;2011-08-22T06:59:42+0000;243366239019005
623329865;Community;Proteus OWee 2011;2011-06-14T08:51:49+0000;213570628676553
623329865;Travel/leisure;Greenwheels Nederland;2011-01-19T12:54:52+0000;181051851915533
623329865;Organization;Betawijs;2010-06-02T07:37:22+0000;92963881581
623329865;Software;MATLAB;2010-04-11T09:17:57+0000;21222876640
625209511;Community;Merksem in foto's - Vroeger en Nu;2013-06-18T20:18:31+0000;397070310398382
625209511;Community;AnnoFans;2013-04-28T17:32:26+0000;201955189824889
625209511;Entertainment website;Engineer Memes;2013-04-23T10:15:39+0000;353346331387046
625209511;Community;Congoboot Charlesville;2013-03-25T14:12:43+0000;448132635262878
625209511;Community;Society Vis Viva;2013-02-12T11:10:03+0000;469748326422886
625209511;Museum/art gallery;Museum Catharijneconvent;2013-01-24T10:43:05+0000;190542894318667
625209511;Community;Norbert Laude , Directeur Koloniale Hogeschool van Antwerpen;2012-11-13T11:20:11+0000;135926733123051
625209511;Aerospace/defense;Delft Aerospace Rocket Engineering;2012-11-03T11:49:16+0000;430400370354737
625209511;Travel/leisure;NMBS Europe;2012-06-01T13:47:41+0000;245640084122
625209511;Amateur sports team;Als ik fiets, draait mijn wiel.;2012-01-02T21:55:03+0000;291390131117
633007917;Internet/software;Yachtcontrol;2013-06-28T21:43:20+0000;350936058342035
633007917;Software;ReVolt ROM;2012-11-20T19:11:18+0000;286323258143737
633007917;Entertainment website;xbmcmediacenter.com;2011-12-15T21:41:03+0000;172027516181705
662624544;Website;tennisphotoworld.com;2013-07-27T12:00:02+0000;492536274146052
662624544;Artist;Chineasy;2013-07-23T17:23:51+0000;495230003876968
662624544;Science website;GeoNet;2013-07-21T08:49:58+0000;338887803633
662624544;Community;Local Travel App;2013-07-20T16:27:15+0000;488989891185780
662624544;Product/service;Nobiles;2013-07-10T13:01:46+0000;415117967541
662624544;Consulting/business services;Speak to Inspire;2013-07-09T15:59:30+0000;225627140870155
662624544;Media/news/publishing;Young;2013-07-05T11:25:09+0000;614966451861522
662624544;Non-profit organization;Last Ocean;2013-07-04T20:27:52+0000;165221150179764
662624544;Non-profit organization;Interstedelijk Studenten Overleg;2013-07-01T21:02:56+0000;175120195999349
662624544;Community;Selfies with alpaca's are awesome;2013-06-26T00:30:22+0000;484524158298258
669997715;University;University of Twente - Study Abroad;2013-07-24T20:44:59+0000;317877448282931
669997715;Organization;Gespot: Prominente Pikken en Snerpende Hertjes;2013-06-25T16:46:17+0000;133104000184594
669997715;Community;Gespot: Wateruniversiteit Twente;2013-06-21T07:25:17+0000;548566625203072
